date,open,close,high,low,volume,amount
2013-02-26,3165.74,3125.53,3186.84,3125.28,17518814,18367448576.0
2013-02-27,3130.67,3125.68,3156.55,3102.75,14944842,15606171392.0
2013-02-28,3135.41,3192.82,3192.82,3125.91,18531406,18445409024.0
2013-03-01,3197.54,3235.01,3235.01,3193.52,21376085,22054519296.0
2013-03-04,3209.23,3121.98,3209.23,3101.83,27725431,26654937856.0
2013-03-05,3124.01,3199.11,3199.11,3113.66,22253327,22851463680.0
2013-03-06,3206.34,3252.93,3255.04,3206.34,26355081,26957499136.0
2013-03-07,3248.23,3209.18,3249.73,3182.29,23888835,25295321344.0
2013-03-08,3207.53,3168.48,3225.87,3163.11,17577505,18379607040.0
2013-03-11,3164.95,3167.22,3182.12,3140.51,14181705,14274699008.0
2013-03-12,3166.75,3082.44,3183.99,3045.1,19913799,19610008320.0
2013-03-13,3073.63,3051.97,3078.1,3019.06,14264200,14162053888.0
2013-03-14,3046.53,3067.54,3084.29,3042.32,11691300,12181384960.0
2013-03-15,3069.24,3083.19,3129.55,3045.35,16416000,17111403008.0
2013-03-18,3073.12,3045.49,3088.41,3041.31,15365900,16466761728.0
2013-03-19,3041.0,3053.27,3060.06,3000.21,15288000,15195855872.0
2013-03-20,3052.82,3129.4,3129.4,3049.1,17238500,17299662592.0
2013-03-21,3130.63,3164.09,3175.38,3126.48,19715000,20166633728.0
2013-03-22,3160.54,3180.03,3185.59,3151.51,16911800,17102412032.0
2013-03-25,3181.26,3168.58,3188.87,3151.54,16843600,17673376512.0
2013-03-26,3157.5,3147.33,3158.99,3110.78,16035900,16647973888.0
2013-03-27,3145.56,3157.03,3181.88,3134.84,15624300,16317839616.0
2013-03-28,3135.44,3071.12,3135.44,3070.7,16892300,16865573376.0
2013-03-29,3071.39,3069.01,3093.45,3061.31,13236700,13459030528.0
2013-04-01,3071.11,3094.95,3107.82,3068.82,13625100,14206571520.0
2013-04-02,3095.19,3051.12,3126.98,3043.89,16427000,17225797120.0
2013-04-03,3052.48,3021.02,3061.03,3007.2,16913400,15825391360.0
2013-04-08,2983.11,3041.79,3041.79,2945.96,16215300,15383970048.0
2013-04-09,3041.94,3072.72,3077.21,3041.94,14771200,14509883648.0
2013-04-10,3074.94,3064.67,3083.58,3042.45,14908700,15055107584.0
2013-04-11,3072.45,3054.78,3083.03,3052.15,14216538,13297282560.0
2013-04-12,3049.91,3026.38,3064.62,3022.86,12528962,12160321024.0
2013-04-15,3016.42,2984.15,3016.42,2974.87,12326460,11578675712.0
2013-04-16,2956.07,3022.21,3022.21,2946.41,12635155,11962031104.0
2013-04-17,3021.03,3056.13,3056.13,3018.57,12148441,12923335936.0
2013-04-18,3043.06,3066.68,3077.8,3033.56,13101342,13926695680.0
2013-04-19,3067.86,3132.46,3134.11,3067.86,18541472,19204718592.0
2013-04-22,3117.18,3147.4,3147.41,3112.98,21264105,21259729408.0
2013-04-23,3145.22,3067.04,3145.22,3061.97,19927104,20122454272.0
2013-04-24,3067.52,3135.95,3137.08,3063.37,19797963,20742203136.0
2013-04-25,3123.88,3086.56,3146.61,3086.05,23539081,24398102272.0
2013-04-26,3078.44,3027.14,3088.01,3021.13,17833330,17929275392.0
2013-05-02,3014.29,3051.27,3051.27,3006.75,13234203,13844691456.0
2013-05-03,3059.76,3110.65,3120.29,3059.76,17676949,17992174080.0
2013-05-06,3115.34,3167.52,3170.67,3115.34,20557050,21020531200.0
2013-05-07,3164.02,3173.96,3183.49,3150.53,19587729,20263302144.0
2013-05-08,3175.73,3209.17,3209.17,3173.76,20545274,21437636864.0
2013-05-09,3207.58,3214.25,3216.45,3179.15,23487971,24877238016.0
2013-05-10,3208.16,3225.61,3230.52,3189.47,19797571,21260046080.0
2013-05-13,3224.98,3239.82,3242.02,3217.83,17641286,18811959040.0
2013-05-14,3235.69,3204.1,3235.69,3181.28,17662533,18361593088.0
2013-05-15,3205.89,3256.1,3256.1,3203.63,18281941,19815275264.0
2013-05-16,3253.79,3283.46,3297.76,3238.93,24099867,25147237632.0
2013-05-17,3281.56,3341.9,3346.21,3280.64,27570545,27478865664.0
2013-05-20,3353.83,3393.98,3397.07,3345.02,30969712,33364394752.0
2013-05-21,3391.96,3436.33,3436.33,3384.75,31877554,33756365824.0
2013-05-22,3431.66,3398.16,3440.37,3385.73,29555984,30812863488.0
2013-05-23,3385.64,3378.73,3431.47,3369.69,25652238,26428183808.0
2013-05-24,3376.07,3433.19,3433.19,3376.07,21819403,23575539968.0
2013-05-27,3439.6,3475.31,3475.31,3437.1,26142243,28553528832.0
2013-05-28,3475.42,3467.01,3483.46,3426.21,27780996,29280932096.0
2013-05-29,3469.66,3491.86,3493.72,3466.86,27004761,27748568832.0
2013-05-30,3480.59,3499.41,3509.6,3473.68,25217081,27330025472.0
2013-05-31,3502.57,3470.57,3514.59,3470.57,25487057,27685262336.0
2013-06-03,3465.99,3439.65,3481.44,3429.48,22320988,24478407680.0
2013-06-04,3437.0,3371.77,3440.76,3341.41,21830129,22816881664.0
2013-06-05,3368.04,3385.59,3393.73,3352.36,16325819,17598717184.0
2013-06-06,3376.16,3330.75,3376.16,3327.79,17694794,18208305920.0
2013-06-07,3332.85,3268.57,3345.85,3246.01,18980300,19683977728.0
2013-06-13,3230.96,3179.88,3230.96,3114.02,17116490,16838949888.0
2013-06-14,3184.68,3253.04,3259.43,3184.68,15837524,17494226432.0
2013-06-17,3261.46,3269.34,3294.81,3240.32,16668840,18930233088.0
2013-06-18,3270.59,3272.82,3283.47,3231.92,14284781,14832538624.0
2013-06-19,3257.33,3246.36,3257.33,3198.79,14943542,15711042048.0
2013-06-20,3227.11,3130.62,3228.95,3129.21,14717602,15469120512.0
2013-06-21,3068.63,3113.74,3132.06,3021.47,14714469,14781808896.0
2013-06-24,3108.46,2915.51,3108.46,2886.86,18644677,17767041280.0
2013-06-25,2888.6,2910.46,2928.54,2684.92,23750890,21558115072.0
2013-06-26,2916.24,2987.65,2987.65,2898.02,18602499,19500969728.0
2013-06-27,2994.09,2939.69,3038.31,2936.39,21477143,21273283328.0
2013-06-28,2917.64,2939.01,2996.11,2885.83,17390304,16365161728.0
2013-07-01,2929.91,3009.07,3009.07,2917.41,16026713,16889299968.0
2013-07-02,3010.2,3061.57,3064.69,3002.55,18634793,19663617024.0
2013-07-03,3051.71,3070.75,3078.24,3000.01,19909599,21272800256.0
2013-07-04,3050.35,3095.57,3128.81,3034.93,21602708,22330603264.0
2013-07-05,3099.36,3075.57,3129.75,3075.51,20386588,20427122688.0
2013-07-08,3030.38,2960.86,3037.27,2956.95,18551472,18626838272.0
2013-07-09,2951.83,2973.11,2978.48,2928.06,13130434,13744186368.0
2013-07-10,2969.99,3059.14,3059.14,2968.38,18914293,19138478336.0
