date,open,close,high,low,volume,amount
2019-04-18,3105.0,3078.87,3113.69,3077.85,13321590,21989221888.0
2019-04-19,3074.5,3089.79,3099.22,3054.75,11883339,19805094144.0
2019-04-22,3102.08,3065.94,3112.92,3050.46,13486293,23153930752.0
2019-04-23,3062.05,3046.19,3087.5,3032.95,10989532,19799547136.0
2019-04-24,3061.69,3104.89,3109.36,3033.17,11964144,20591992576.0
2019-04-25,3087.4,3027.23,3127.61,3023.59,12803291,22979780608.0
2019-04-26,3012.32,2992.76,3038.23,2981.01,10980521,19795198720.0
2019-04-29,2992.49,2911.57,2995.71,2902.1,14106000,23809461504.0
2019-04-30,2905.39,2925.84,2947.69,2901.81,9688467,16783692544.0
2019-05-06,2787.71,2698.4,2824.25,2684.49,14070393,22248754688.0
2019-05-07,2721.24,2720.88,2759.17,2662.92,11683622,18842496000.0
2019-05-08,2654.54,2666.12,2729.15,2649.53,10015830,15895228160.0
2019-05-09,2646.7,2644.06,2684.09,2638.83,8325824,13524374528.0
2019-05-10,2682.08,2762.18,2764.97,2639.08,13731092,21888052736.0
2019-05-13,2722.44,2703.49,2740.36,2687.76,8984670,14463392256.0
2019-05-14,2691.3,2696.1,2740.02,2688.1,9074162,14683667968.0
2019-05-15,2724.92,2762.9,2771.86,2715.22,9421642,15837501184.0
2019-05-16,2765.03,2769.03,2777.37,2742.42,8665980,14987881984.0
2019-05-17,2778.6,2675.16,2778.6,2662.84,10769005,17185065728.0
2019-05-20,2675.95,2649.59,2680.46,2613.33,9508137,15597573888.0
2019-05-21,2650.1,2694.21,2715.38,2642.6,8743235,14535435264.0
2019-05-22,2693.39,2682.06,2712.3,2664.67,8116078,12569768960.0
2019-05-23,2674.88,2611.51,2674.88,2606.85,9691888,14701003008.0
2019-05-24,2617.45,2599.16,2641.68,2583.35,8375577,12428425216.0
2019-05-27,2605.96,2685.97,2696.66,2605.17,11042314,17214867712.0
2019-05-28,2697.53,2730.81,2730.81,2681.13,9694454,16618535936.0
2019-05-29,2703.27,2716.01,2731.66,2693.99,7413685,11596053760.0
2019-05-30,2714.87,2708.07,2719.98,2671.36,8194301,12632356096.0
2019-05-31,2711.11,2702.73,2727.34,2680.59,7384380,11098541568.0
2019-06-03,2718.13,2672.43,2731.9,2670.65,8319810,12803781632.0
2019-06-04,2670.16,2654.21,2693.65,2637.86,7266696,11269202688.0
2019-06-05,2681.9,2644.88,2688.18,2638.59,7320167,12294162944.0
2019-06-06,2641.18,2578.0,2641.18,2570.52,8334986,12808294144.0
2019-06-10,2589.61,2600.33,2619.63,2561.79,7627237,12133045760.0
2019-06-11,2602.78,2706.03,2709.0,2599.65,12433078,19830314240.0
2019-06-12,2693.61,2682.49,2703.91,2669.52,8824500,14423479808.0
2019-06-13,2686.97,2698.6,2711.73,2669.58,8137777,13166127872.0
