date,open,close,high,low,volume,amount
2009-12-31,1000.0,1000.0,1000.0,1000.0,9735312,13655025267.0
2010-01-04,1000.08,1000.08,1000.08,1000.08,10192775,14363482476.0
2010-01-05,1005.34,1005.34,1005.34,1005.34,10806291,15170902963.0
2010-01-06,1002.33,1002.33,1002.33,1002.33,10225459,14578288984.0
2010-01-07,979.27,979.27,979.27,979.27,9863324,13742676570.0
2010-01-08,989.61,989.61,989.61,989.61,8374442,12315281541.0
2010-01-11,995.67,995.67,995.67,995.67,10820759,15343213587.0
2010-01-12,1011.8,1011.8,1011.8,1011.8,13446139,18205552538.0
2010-01-13,1002.4,1002.4,1002.4,1002.4,13087937,17872349770.0
2010-01-14,1025.48,1025.48,1025.48,1025.48,12375040,16882483433.0
2010-01-15,1037.79,1037.79,1037.79,1037.79,12688669,18123229266.0
2010-01-18,1049.21,1049.21,1049.21,1049.21,13530178,19644590471.0
2010-01-19,1047.07,1047.07,1047.07,1047.07,12479024,18400731587.0
2010-01-20,1010.6,1010.6,1010.6,1010.6,13641868,18943749743.0
2010-01-21,1014.67,1014.67,1014.67,1014.67,10655530,14444384827.0
2010-01-22,993.92,993.92,993.92,993.92,12360667,16868072361.0
2010-01-25,983.03,983.03,983.03,983.03,6894848,9609079090.0
2010-01-26,950.38,950.38,950.38,950.38,8586976,11330631613.0
2010-01-27,940.52,940.52,940.52,940.52,5908594,7682398062.0
2010-01-28,950.91,950.91,950.91,950.91,5605484,7462340219.0
2010-01-29,957.42,957.42,957.42,957.42,6897883,9138870642.0
2010-02-01,942.1,942.1,942.1,942.1,7007482,9235921148.0
2010-02-02,934.46,934.46,934.46,934.46,6084533,8251273736.0
2010-02-03,948.43,948.43,948.43,948.43,7300597,9733890817.0
2010-02-04,951.32,951.32,951.32,951.32,7242287,9492310452.0
2010-02-05,931.95,931.95,931.95,931.95,6684369,8566636167.0
2010-02-08,927.91,927.91,927.91,927.91,4887444,6295754234.0
2010-02-09,933.0,933.0,933.0,933.0,4369209,5503248660.0
2010-02-10,947.06,947.06,947.06,947.06,4324891,5731833183.0
2010-02-11,949.48,949.48,949.48,949.48,5048656,6478199877.0
2010-02-12,965.98,965.98,965.98,965.98,4827242,6431882674.0
2010-02-22,960.4,960.4,960.4,960.4,5148979,6871148859.0
2010-02-23,962.57,962.57,962.57,962.57,5941886,7699732256.0
2010-02-24,981.32,981.32,981.32,981.32,6675488,9014882311.0
2010-02-25,997.8,997.8,997.8,997.8,9495863,13143721093.0
2010-02-26,996.94,996.94,996.94,996.94,7797452,11064195062.0
2010-03-01,1007.68,1007.68,1007.68,1007.68,8434847,12054771037.0
2010-03-02,1012.49,1012.49,1012.49,1012.49,8794889,12245589732.0
2010-03-03,1021.78,1021.78,1021.78,1021.78,9201503,12927565141.0
2010-03-04,990.88,990.88,990.88,990.88,11055725,15173096367.0
