date,open,close,high,low,volume,amount
2019-03-18,4082.88,4163.28,4163.28,4019.11,6567081,11450191157.0
2019-03-19,4144.78,4207.58,4296.8,4124.95,7031885,12970963125.0
2019-03-20,4203.68,4124.14,4216.11,4036.99,6114680,10806552208.0
2019-03-21,4130.91,4220.81,4277.69,4119.69,8898614,14969595771.0
2019-03-22,4253.21,4265.79,4299.73,4201.79,7735686,13220013211.0
2019-03-25,4182.39,4276.2,4357.09,4167.92,7865151,14278355034.0
2019-03-26,4291.8,4130.78,4311.11,4117.01,8293877,15615909159.0
2019-03-27,4160.56,4171.85,4209.86,4020.65,7577491,13365005022.0
2019-03-28,4159.92,4142.98,4350.7,4141.67,11042899,19553681900.0
2019-03-29,4104.77,4244.04,4248.49,4011.69,9475205,17741075036.0
2019-04-01,4272.34,4388.09,4400.24,4265.2,10938152,19656203602.0
2019-04-02,4423.39,4462.96,4555.58,4392.96,11854461,22293260893.0
2019-04-03,4418.43,4437.25,4457.27,4376.64,7313551,12935419129.0
2019-04-04,4506.44,4435.72,4535.91,4420.82,7043384,15095801700.0
2019-04-08,4429.72,4259.51,4430.85,4217.01,7079752,14334446727.0
2019-04-09,4246.79,4259.41,4305.49,4210.38,4259925,8750813978.0
2019-04-10,4225.04,4214.12,4255.41,4161.73,4816000,8965395038.0
2019-04-11,4221.61,4100.5,4223.44,4094.82,4397558,8654683280.0
2019-04-12,4103.79,4116.68,4136.96,4079.0,2956092,5786562844.0
2019-04-15,4198.59,4103.27,4237.81,4101.29,4298303,7840662730.0
2019-04-16,4076.14,4249.0,4250.66,4043.61,5842582,11924415519.0
2019-04-17,4251.11,4235.36,4319.09,4224.12,5542283,10606968062.0
2019-04-18,4229.9,4214.09,4251.61,4181.09,4400290,8236917838.0
2019-04-19,4214.59,4211.43,4227.71,4162.13,3489450,6660158619.0
2019-04-22,4218.56,4220.05,4286.88,4189.27,5618289,10220274534.0
2019-04-23,4201.63,4103.59,4215.95,4095.63,4876459,8918477184.0
2019-04-24,4109.23,4226.28,4240.59,4054.66,5520229,10566591170.0
2019-04-25,4198.3,4024.16,4219.27,4020.25,5515079,9558211351.0
2019-04-26,4004.36,4005.05,4096.41,4003.8,4735131,7874513622.0
2019-04-29,3995.81,3811.26,4013.56,3799.43,5240465,8558162834.0
2019-04-30,3771.95,3804.33,3848.42,3751.3,3313180,5955855094.0
2019-05-06,3656.59,3459.88,3656.73,3450.36,4573305,7283407098.0
2019-05-07,3459.29,3492.72,3517.91,3411.34,3804543,6147300838.0
2019-05-08,3407.35,3553.77,3660.14,3383.89,4827710,8038664679.0
2019-05-09,3578.65,3610.03,3689.45,3578.65,4804142,8109842436.0
2019-05-10,3641.82,3847.67,3847.83,3543.36,6978396,11820814483.0
2019-05-13,3797.82,3791.24,3862.2,3765.66,6507669,10774377364.0
2019-05-14,3745.17,3760.87,3825.45,3745.17,5493384,8798539994.0
2019-05-15,3799.24,3806.03,3814.2,3763.21,4817462,7748656903.0
2019-05-16,3800.54,3777.86,3800.54,3742.04,3972578,6490813493.0
2019-05-17,3849.86,3819.05,3942.84,3807.57,8796611,14812214946.0
2019-05-20,3940.92,3975.46,4002.92,3924.11,7823420,12795175900.0
2019-05-21,3944.39,3953.88,3975.17,3854.44,10798161,14061843458.0
2019-05-22,3933.26,4046.54,4047.28,3928.4,9313165,13870776810.0
2019-05-23,4091.94,4045.33,4112.14,3998.83,12071415,18597070475.0
2019-05-24,3951.23,3835.75,3984.78,3833.83,9042313,13208633480.0
2019-05-27,3831.34,4066.99,4088.17,3826.38,10020452,14350957817.0
2019-05-28,4103.77,4088.47,4127.45,4044.81,12455869,17820621636.0
2019-05-29,4078.28,4180.56,4255.22,4067.49,13682283,18846409360.0
2019-05-30,4142.72,4081.26,4142.99,4007.36,10884872,16213473148.0
