date,open,close,high,low,volume,amount
2008-08-04,2759.8,2687.55,2759.8,2683.91,5972906,5436500480.0
2008-08-05,2683.84,2582.16,2695.04,2575.85,8046384,7688378880.0
2008-08-06,2597.73,2590.76,2614.61,2550.19,6838590,5979063808.0
2008-08-07,2589.28,2592.37,2612.05,2562.19,5549979,5082008064.0
2008-08-08,2591.63,2455.95,2591.63,2450.83,6933512,6239303680.0
2008-08-11,2449.03,2326.84,2451.26,2310.3,7688190,6428604928.0
2008-08-12,2310.76,2360.44,2377.0,2298.09,6584794,5591300608.0
2008-08-13,2350.22,2376.1,2398.05,2300.95,6198864,5099921408.0
2008-08-14,2360.38,2375.97,2396.96,2345.39,4353338,3820727040.0
2008-08-15,2374.71,2368.55,2400.0,2342.03,4466511,3753341184.0
2008-08-18,2376.1,2228.15,2378.26,2227.33,5237596,4227633152.0
2008-08-19,2199.78,2262.47,2267.42,2188.66,4365054,3409381376.0
2008-08-20,2251.57,2418.71,2422.51,2223.46,10513312,8515867648.0
2008-08-21,2377.53,2318.93,2413.26,2312.2,8552673,7069864960.0
2008-08-22,2297.75,2273.84,2311.75,2239.3,5482280,4343411200.0
2008-08-25,2269.93,2254.34,2290.74,2232.31,4025363,3222877440.0
2008-08-26,2232.55,2167.12,2232.65,2148.0,5121225,3918358784.0
2008-08-27,2160.91,2157.4,2191.2,2118.82,4685519,3554079744.0
2008-08-28,2155.26,2173.05,2182.46,2144.64,4233004,3328524800.0
2008-08-29,2179.4,2233.28,2256.54,2179.4,6447928,5151943680.0
2008-09-01,2217.11,2177.14,2220.77,2164.96,4749172,4025456640.0
2008-09-02,2162.96,2172.64,2190.66,2140.49,3627366,2895667968.0
2008-09-03,2165.13,2142.43,2175.86,2123.78,4745436,3947917824.0
2008-09-04,2136.85,2152.82,2173.51,2127.23,4102837,3446045696.0
2008-09-05,2099.9,2088.46,2127.47,2082.81,4676863,3574924544.0
2008-09-08,2090.49,2018.23,2100.68,2013.85,4405386,3266988032.0
2008-09-09,2027.51,2042.64,2056.31,2011.1,3837964,2849740288.0
2008-09-10,2030.73,2051.7,2086.08,2013.93,4724506,3555286272.0
2008-09-11,2051.41,2011.46,2064.94,2008.24,4235506,3177208576.0
