date,open,close,high,low,volume,amount
2005-01-04,797.27,784.07,797.27,783.42,1166487,660615300.0
2005-01-05,782.31,784.81,788.83,776.34,832856,487245849.0
2005-01-06,784.58,772.95,784.58,769.56,667861,395762967.0
2005-01-07,772.3,771.39,781.51,766.41,698291,469567446.0
2005-01-10,769.99,773.69,773.82,764.83,575391,345942905.0
2005-01-11,773.97,775.93,779.75,770.32,580505,363047387.0
2005-01-12,775.07,778.52,778.52,771.97,569384,349294234.0
2005-01-13,777.96,776.0,778.15,772.51,490884,301465821.0
2005-01-14,775.75,767.99,782.78,767.59,727284,414858332.0
2005-01-17,761.19,747.28,761.19,745.76,881737,507805554.0
2005-01-18,747.03,747.05,750.72,736.19,849276,465035466.0
2005-01-19,746.32,740.14,746.32,737.97,661463,354470640.0
2005-01-20,736.23,731.01,737.49,728.92,829031,442799354.0
2005-01-21,729.22,754.16,756.32,726.0,1528006,847500329.0
2005-01-24,763.28,768.08,768.08,757.99,1733980,1016805414.0
2005-01-25,765.77,773.41,773.41,757.34,1132705,701057001.0
2005-01-26,769.27,765.4,773.33,765.28,812479,483996573.0
2005-01-27,764.16,753.43,764.16,751.91,715527,411945414.0
2005-01-28,753.43,745.85,753.43,743.89,572837,334242138.0
2005-01-31,745.19,735.96,745.19,734.02,717020,401503207.0
2005-02-01,733.94,733.67,742.9,733.18,690982,395129133.0
2005-02-02,734.21,777.87,778.03,734.21,1970888,1154168886.0
2005-02-03,777.62,770.52,785.72,769.46,1891513,1108047184.0
2005-02-04,769.69,788.07,791.18,768.24,1821580,1095137539.0
2005-02-16,794.01,797.59,804.9,789.54,1563980,955609778.0
2005-02-17,797.68,791.88,797.68,785.77,800911,488268116.0
2005-02-18,791.12,781.61,797.77,781.61,978418,598016887.0
2005-02-21,782.74,799.19,799.19,782.74,1276486,793939057.0
2005-02-22,799.99,816.69,818.18,798.55,1933162,1214661250.0
2005-02-23,816.58,816.65,821.78,812.18,1802335,1095244304.0
2005-02-24,815.46,817.57,818.03,809.7,1442426,900072009.0
2005-02-25,818.92,822.57,834.39,818.92,2055628,1374810606.0
2005-02-28,822.27,825.53,830.31,822.16,1562355,1045114984.0
2005-03-01,825.69,822.87,828.42,816.19,1289381,848670482.0
2005-03-02,823.17,811.29,831.5,810.78,1717633,1056584443.0
2005-03-03,809.79,812.8,813.53,801.07,1105785,644724278.0
2005-03-04,813.2,804.08,813.98,802.47,788231,541434779.0
2005-03-07,805.23,809.42,812.5,805.23,911989,614590066.0
2005-03-08,812.81,827.79,827.84,812.81,1720274,1182622713.0
2005-03-09,829.72,825.66,833.28,820.89,1573285,1045481172.0
2005-03-10,826.18,802.53,826.18,799.14,1359478,933270493.0
2005-03-11,800.72,796.58,806.75,795.29,1441096,985275769.0
2005-03-14,796.44,800.43,806.39,783.39,1811017,1277315763.0
2005-03-15,799.81,782.12,799.81,781.19,1336551,966375329.0
2005-03-16,781.02,770.5,781.02,766.09,1072282,738638965.0
2005-03-17,771.61,761.46,771.61,761.46,924531,622972710.0
2005-03-18,762.34,749.7,765.27,745.87,1160423,760166046.0
2005-03-21,748.9,754.51,755.83,745.95,797101,462200214.0
2005-03-22,755.41,739.78,755.41,736.22,1111647,656986203.0
2005-03-23,739.72,740.63,749.92,735.44,1043226,634095473.0
2005-03-24,740.14,745.34,745.34,731.84,899257,505317993.0
2005-03-25,745.1,743.57,746.02,740.78,689705,404072828.0
2005-03-28,744.54,743.01,744.54,732.74,957971,529771518.0
2005-03-29,742.73,739.33,750.28,739.33,925554,539885318.0
2005-03-30,737.85,721.71,737.85,721.6,971827,571130748.0
2005-03-31,719.51,726.08,726.08,712.8,892885,494967981.0
2005-04-01,725.08,754.75,762.65,721.28,1836598,1118421832.0
2005-04-04,746.93,738.98,747.81,738.98,1225906,784347349.0
2005-04-05,737.26,734.75,743.94,734.49,1062057,682434054.0
2005-04-06,734.75,748.3,751.04,727.46,1812422,1163322074.0
2005-04-07,748.34,752.99,766.9,747.09,2482372,1525749386.0
2005-04-08,753.74,775.89,775.89,751.52,1895235,1154716418.0
2005-04-11,775.84,769.08,777.39,766.48,1705737,1021492450.0
2005-04-12,766.81,752.43,766.81,752.18,1284611,758729273.0
2005-04-13,759.2,772.85,776.7,759.2,2176743,1352638708.0
2005-04-14,773.65,763.28,773.65,762.98,1421652,869627471.0
2005-04-15,760.05,751.3,760.05,749.9,1126777,692862646.0
2005-04-18,748.28,742.51,748.28,737.38,909363,505319291.0
2005-04-19,742.57,744.62,747.0,740.33,921646,531248030.0
2005-04-20,743.72,733.93,743.72,730.57,1006430,565971274.0
2005-04-21,733.21,727.89,737.88,724.47,1044394,600618294.0
2005-04-22,727.57,724.29,731.75,720.62,1280221,761604766.0
2005-04-25,719.88,714.03,722.76,706.16,1472009,911843840.0
2005-04-26,712.66,714.98,719.58,705.85,1242770,784222404.0
2005-04-27,718.0,709.77,718.0,709.58,988635,599166831.0
2005-04-28,709.29,723.42,723.42,705.37,1391117,811795606.0
2005-04-29,724.19,715.6,725.01,714.7,991959,590057277.0
2005-05-09,715.84,696.03,715.84,696.03,813507,484810057.0
2005-05-10,694.55,703.43,703.43,681.96,991384,581454150.0
2005-05-11,703.13,694.88,705.53,693.68,693003,404577358.0
2005-05-12,693.57,683.68,696.49,681.77,1168064,598380270.0
2005-05-13,682.4,683.95,691.49,674.34,1062377,524275001.0
2005-05-16,682.68,666.74,682.68,655.6,1108212,592699788.0
2005-05-17,662.22,664.53,669.63,657.36,912014,475367710.0
2005-05-18,664.52,665.55,669.71,658.02,660464,338510267.0
2005-05-19,663.92,664.84,665.33,649.76,1444957,664844080.0
2005-05-20,661.58,662.28,667.45,657.88,779873,423365080.0
2005-05-23,659.08,640.76,659.08,640.27,836258,426573491.0
2005-05-24,636.58,640.98,642.89,630.22,1220036,595744106.0
2005-05-25,640.98,638.9,645.09,636.03,883026,394182333.0
2005-05-26,638.71,632.53,642.8,631.45,818770,383967530.0
