date,open,close,high,low,volume,amount
2009-11-04,3714.69,3733.68,3749.52,3690.95,58347369,75540045824.0
2009-11-05,3734.42,3742.62,3751.82,3700.4,48096635,59564699648.0
2009-11-06,3764.73,3764.63,3793.96,3752.23,57847984,71157284864.0
2009-11-09,3767.33,3782.63,3784.75,3737.28,47588749,58954600448.0
2009-11-10,3806.61,3799.94,3823.96,3795.44,51118994,65450315776.0
2009-11-11,3793.08,3796.52,3811.76,3762.36,42692541,53896720384.0
2009-11-12,3804.22,3811.33,3845.59,3798.86,45300341,57988730880.0
2009-11-13,3796.28,3839.72,3839.72,3757.27,47199393,63651856384.0
2009-11-16,3865.39,3944.24,3944.24,3865.39,63362281,87607607296.0
2009-11-17,3963.08,3950.13,3967.83,3928.93,55660150,75286536192.0
2009-11-18,3953.64,3954.78,3972.43,3927.33,55481196,70424887296.0
2009-11-19,3962.77,3992.15,3992.15,3936.09,59633721,75123220480.0
2009-11-20,3980.08,4001.53,4028.48,3958.92,60122374,75794874368.0
2009-11-23,4006.78,4052.5,4052.5,3995.34,55984064,74310549504.0
2009-11-24,4066.42,3888.2,4087.65,3873.58,83004399,110450982912.0
2009-11-25,3875.16,4006.96,4007.18,3854.15,64230259,84136493056.0
2009-11-26,4015.63,3859.09,4037.74,3839.77,76189575,100364476416.0
2009-11-27,3797.54,3742.17,3864.56,3719.74,54698414,69582888960.0
2009-11-30,3777.38,3909.92,3909.92,3777.38,46842874,63246553088.0
2009-12-01,3908.9,3987.86,3992.24,3893.68,54919849,72726528000.0
2009-12-02,4004.52,4035.88,4049.09,3992.63,59370877,79234514944.0
2009-12-03,4031.48,4038.26,4047.33,3993.01,54447923,71844560896.0
2009-12-04,4030.41,4010.72,4075.05,3900.58,67231233,89154273280.0
2009-12-07,4018.09,4067.99,4071.8,4011.75,46899005,64537219072.0
2009-12-08,4075.92,4046.4,4077.46,4007.48,49260898,64844083200.0
2009-12-09,4004.18,3985.88,4036.48,3972.88,39267693,51811323904.0
2009-12-10,4007.43,4012.93,4039.11,3976.62,32940699,43656114176.0
2009-12-11,4029.57,4014.73,4056.84,4004.99,33491536,43024990208.0
2009-12-14,4014.61,4020.24,4023.05,3916.51,37209439,50580516864.0
2009-12-15,4004.83,4001.58,4037.54,3987.48,37237597,50693410816.0
2009-12-16,3986.23,3964.67,4016.7,3956.42,29695510,40633647104.0
2009-12-17,3970.65,3865.07,3986.01,3859.95,32928568,44039249920.0
2009-12-18,3826.15,3721.87,3826.15,3717.16,34087165,44615245824.0
2009-12-21,3719.44,3756.53,3756.53,3701.98,23919227,31535929344.0
2009-12-22,3764.8,3650.2,3768.58,3644.25,27973109,37808738304.0
2009-12-23,3647.34,3707.83,3715.19,3647.34,24980234,33874819072.0
2009-12-24,3719.06,3838.44,3846.01,3713.44,33275256,46675689472.0
2009-12-25,3837.34,3849.43,3871.41,3819.46,29143511,38995365888.0
2009-12-28,3859.29,3912.66,3913.66,3859.29,32831021,43187236864.0
2009-12-29,3918.32,3929.08,3929.08,3869.24,33635654,44106113024.0
2009-12-30,3928.79,3949.42,3949.42,3902.28,39477879,54967357440.0
2009-12-31,3946.51,3971.05,3971.05,3923.86,33133551,46508941312.0
2010-01-04,3991.5,3950.43,3996.57,3950.43,34903042,49836273664.0
2010-01-05,3954.09,3965.58,3970.36,3902.99,45913620,65624899584.0
2010-01-06,3962.55,3960.11,4005.78,3946.96,42907100,64096768000.0
2010-01-07,3958.49,3882.69,3972.54,3861.08,45279474,65746157568.0
2010-01-08,3865.76,3907.2,3907.34,3838.26,35367817,49924485120.0
2010-01-11,3971.31,3898.49,3981.19,3878.26,42102765,61061984256.0
2010-01-12,3900.15,3974.67,3974.67,3865.33,47429167,69626585088.0
2010-01-13,3881.24,3894.44,3956.69,3864.78,53509432,78112473088.0
2010-01-14,3900.29,3967.99,3969.45,3894.61,48777507,69382004736.0
2010-01-15,3976.39,3995.2,4002.69,3955.97,42517522,59844526080.0
2010-01-18,3989.63,4042.29,4042.95,3981.05,45256643,63820881920.0
