date,open,close,high,low,volume,amount
2010-11-08,3688.21,3723.28,3723.28,3665.84,13270620,18468491264.0
2010-11-09,3723.29,3740.82,3741.47,3695.09,13888910,17709606912.0
2010-11-10,3731.06,3740.43,3745.43,3690.26,10691893,15925506048.0
2010-11-11,3721.67,3707.24,3804.83,3705.56,12736536,20034398208.0
2010-11-12,3683.68,3466.42,3716.27,3453.98,14642764,21421731840.0
2010-11-15,3479.5,3578.75,3581.72,3471.3,9266464,14437161984.0
2010-11-16,3595.04,3445.06,3603.92,3409.75,10230718,15145929728.0
2010-11-17,3399.11,3324.04,3441.72,3307.51,7278626,10575764480.0
2010-11-18,3348.04,3418.98,3418.98,3323.44,7129219,9759925248.0
2010-11-19,3441.95,3575.52,3575.52,3440.04,10403504,15071090688.0
2010-11-22,3589.54,3656.8,3741.22,3585.1,13629622,20540350464.0
2010-11-23,3635.52,3602.59,3635.52,3512.43,10354134,16096679936.0
2010-11-24,3571.93,3698.4,3700.47,3571.62,9494701,15601071104.0
2010-11-25,3712.37,3698.36,3738.99,3676.04,9893086,15316343808.0
2010-11-26,3691.01,3657.35,3697.87,3612.44,6732268,11149456384.0
2010-11-29,3641.76,3662.04,3682.6,3618.05,6648913,10194098176.0
2010-11-30,3645.0,3565.65,3664.93,3461.66,9085985,12361421824.0
2010-12-01,3539.68,3566.19,3585.59,3531.79,6256026,8084298240.0
2010-12-02,3616.06,3577.9,3628.16,3576.24,6218150,9340581888.0
2010-12-03,3577.93,3534.66,3584.3,3504.87,5101370,7639696384.0
2010-12-06,3534.21,3472.39,3545.5,3458.98,5090334,7298305536.0
2010-12-07,3455.77,3534.47,3538.7,3418.89,5106903,7272875520.0
2010-12-08,3529.35,3538.54,3593.5,3529.22,4993328,8019485184.0
2010-12-09,3519.65,3513.23,3558.67,3474.21,6340455,9468266496.0
2010-12-10,3498.92,3578.31,3594.85,3490.58,6275386,9639706624.0
2010-12-13,3596.95,3686.81,3687.55,3596.95,8322835,12537122816.0
2010-12-14,3699.71,3748.71,3749.44,3699.71,9560419,13690918912.0
2010-12-15,3751.23,3717.62,3762.34,3709.44,7970286,12360942592.0
2010-12-16,3708.36,3725.36,3750.56,3708.36,6323603,9204518912.0
2010-12-17,3713.93,3722.19,3731.07,3702.28,5278563,8020844544.0
2010-12-20,3740.51,3681.03,3754.39,3593.06,7629340,11434141696.0
2010-12-21,3678.31,3708.57,3708.57,3652.8,5797579,9051860992.0
2010-12-22,3709.54,3673.23,3721.37,3664.62,5456816,8382413824.0
2010-12-23,3664.9,3586.13,3672.02,3580.73,5439171,7954713600.0
2010-12-24,3570.84,3509.97,3570.84,3487.47,4360350,6433593344.0
2010-12-27,3511.78,3406.16,3550.92,3401.89,4654948,6175363584.0
2010-12-28,3389.31,3324.93,3396.56,3303.95,4418601,5892787200.0
2010-12-29,3328.73,3412.98,3412.98,3328.73,3691630,5657399296.0
2010-12-30,3415.43,3449.2,3458.16,3405.05,3903889,6037205504.0
2010-12-31,3448.64,3530.82,3534.94,3448.64,5091883,8116071936.0
2011-01-04,3537.71,3561.32,3561.32,3505.61,5229709,8760939520.0
2011-01-05,3543.76,3519.74,3549.9,3516.72,4679940,7830851072.0
2011-01-06,3518.96,3498.17,3535.25,3497.35,5272782,7176051712.0
2011-01-07,3486.08,3479.11,3518.2,3457.0,4676598,6605180416.0
2011-01-10,3472.31,3393.74,3473.78,3379.49,4790660,7014362112.0
2011-01-11,3378.17,3370.92,3390.19,3343.16,3933221,5536379904.0
2011-01-12,3378.71,3375.13,3390.2,3328.97,3369991,4991346176.0
2011-01-13,3392.27,3386.44,3402.59,3371.42,3320757,5326029824.0
2011-01-14,3377.31,3308.04,3377.31,3301.7,3606575,5207054848.0
2011-01-17,3277.6,3156.64,3283.98,3151.32,4120603,5812696064.0
2011-01-18,3149.22,3160.59,3167.71,3131.9,2666361,3708134400.0
2011-01-19,3166.03,3240.52,3240.52,3157.28,3478984,4764693504.0
2011-01-20,3231.18,3098.05,3231.18,3096.17,3481432,4487085056.0
2011-01-21,3091.43,3107.66,3142.14,3066.8,3293866,4341412864.0
2011-01-24,3107.8,3048.66,3115.57,3046.37,3982544,4488145920.0
2011-01-25,3041.93,3023.9,3041.93,2997.78,2473820,3785600768.0
2011-01-26,3026.95,3091.19,3098.82,3026.95,2791391,4324537344.0
2011-01-27,3067.69,3140.01,3152.8,3044.63,3790198,5593786368.0
2011-01-28,3139.05,3158.1,3169.31,3128.99,3069236,4580741632.0
2011-01-31,3150.55,3190.47,3191.78,3131.48,3414682,4427819008.0
2011-02-01,3191.59,3195.38,3203.71,3177.14,2989821,4394173952.0
2011-02-09,3173.15,3193.82,3227.12,3166.15,3550830,5009781248.0
2011-02-10,3192.44,3300.61,3300.61,3190.59,5020576,7342425600.0
2011-02-11,3303.47,3328.5,3352.89,3299.76,5526688,8233016320.0
2011-02-14,3332.44,3396.42,3407.82,3332.44,7059543,10179268608.0
2011-02-15,3403.48,3410.17,3457.38,3396.02,7605160,11043540992.0
2011-02-16,3406.66,3473.62,3473.62,3391.06,7831891,10278677504.0
2011-02-17,3477.29,3510.53,3519.22,3466.38,8012067,12056804352.0
2011-02-18,3502.6,3442.71,3502.6,3430.18,6206510,9851858944.0
2011-02-21,3421.1,3557.69,3557.69,3415.15,7612026,11823810560.0
2011-02-22,3566.19,3469.69,3579.42,3464.7,7891177,13024989184.0
2011-02-23,3452.8,3514.82,3531.83,3452.11,5936941,9406582784.0
2011-02-24,3501.41,3520.53,3528.56,3480.97,5016151,7769879040.0
2011-02-25,3521.92,3555.46,3571.7,3498.74,6321203,10053937152.0
2011-02-28,3568.07,3638.04,3638.04,3545.72,9471986,12413152256.0
2011-03-01,3641.42,3632.24,3659.34,3606.72,8549575,11794091008.0
2011-03-02,3614.54,3608.94,3623.76,3547.86,6485995,9518797824.0
2011-03-03,3603.44,3532.57,3636.59,3528.39,5834644,8915873792.0
2011-03-04,3530.46,3576.99,3579.87,3513.17,5111841,7095840256.0
2011-03-07,3595.23,3635.01,3648.88,3595.23,10122366,11861570560.0
2011-03-08,3634.47,3658.02,3658.02,3610.18,8325566,9700652032.0
2011-03-09,3662.64,3672.47,3676.33,3640.42,6883507,9596968960.0
2011-03-10,3668.51,3644.66,3674.2,3640.37,6686605,9140925440.0
2011-03-11,3627.77,3644.75,3685.87,3614.21,8153243,10291280896.0
2011-03-14,3653.95,3682.95,3682.95,3635.17,7204369,9622035456.0
2011-03-15,3665.7,3614.16,3665.7,3540.97,8893191,12010783744.0
2011-03-16,3608.62,3701.75,3701.75,3608.62,9787377,11258641408.0
2011-03-17,3657.81,3600.88,3668.98,3585.79,7709624,10281283584.0
2011-03-18,3629.26,3609.22,3647.06,3587.23,5197830,8124091904.0
2011-03-21,3604.41,3567.99,3617.78,3550.11,5278711,7532524544.0
2011-03-22,3574.96,3565.24,3587.76,3511.64,4618482,6737830400.0
2011-03-23,3566.7,3611.0,3611.38,3553.52,4721220,6713122816.0
2011-03-24,3618.95,3606.25,3626.23,3602.07,4458342,6532379136.0
2011-03-25,3605.71,3631.28,3639.59,3605.71,5234247,8061067264.0
2011-03-28,3637.78,3597.47,3642.86,3588.39,5853718,8685470720.0
2011-03-29,3594.53,3534.67,3602.14,3528.44,6060177,8662731776.0
2011-03-30,3533.13,3497.14,3547.13,3478.54,5466718,7358966272.0
2011-03-31,3500.99,3461.56,3515.93,3448.44,5640048,6435636224.0
2011-04-01,3461.28,3477.5,3477.55,3430.69,3461825,4612500992.0
2011-04-06,3464.15,3444.38,3470.28,3406.49,4341346,6234639872.0
2011-04-07,3440.84,3479.14,3479.17,3425.93,3995908,5691478016.0
2011-04-08,3482.58,3534.01,3535.7,3475.76,4787963,7262124032.0
2011-04-11,3535.38,3482.26,3554.93,3479.49,5560184,7787482112.0
2011-04-12,3486.45,3497.25,3514.1,3478.33,6883186,7841860608.0
2011-04-13,3485.14,3546.88,3546.88,3463.24,6532415,7383474176.0
2011-04-14,3544.83,3522.38,3544.83,3516.19,6970294,7395130368.0
2011-04-15,3513.84,3493.07,3525.8,3469.26,5351077,6306009600.0
2011-04-18,3487.04,3484.19,3494.74,3470.0,5778955,6836766208.0
2011-04-19,3466.35,3459.85,3480.58,3432.05,9958391,9305025536.0
2011-04-20,3459.49,3484.63,3492.79,3459.49,6279121,6754286592.0
2011-04-21,3494.89,3514.54,3524.58,3494.89,5619297,6746530304.0
2011-04-22,3516.18,3500.68,3519.4,3492.15,4032891,5704707584.0
2011-04-25,3496.04,3421.37,3496.04,3419.54,8793756,8622266368.0
2011-04-26,3407.19,3355.96,3413.83,3350.29,6018309,5940213248.0
2011-04-27,3366.18,3323.47,3383.47,3300.67,5270014,5295892480.0
2011-04-28,3329.85,3236.0,3339.96,3234.41,5068311,5733856768.0
2011-04-29,3243.82,3295.92,3295.92,3240.72,3986079,4495375360.0
2011-05-03,3295.82,3338.86,3338.93,3288.43,2636817,3618672640.0
2011-05-04,3332.33,3256.14,3332.33,3248.32,3077728,4525788672.0
2011-05-05,3247.42,3270.65,3279.77,3245.13,2622998,3573050112.0
2011-05-06,3266.78,3324.98,3332.52,3257.89,6941451,6163597824.0
2011-05-09,3334.53,3358.56,3373.0,3334.53,5704313,6192175616.0
2011-05-10,3359.96,3371.43,3371.43,3344.9,4252328,4822319104.0
2011-05-11,3370.35,3374.53,3391.59,3342.01,5505866,5499439104.0
2011-05-12,3352.02,3323.21,3380.0,3323.08,5072801,5834885120.0
2011-05-13,3322.9,3341.43,3341.71,3296.76,3219381,4416401920.0
2011-05-16,3349.09,3356.36,3390.74,3346.05,5686624,6022690816.0
2011-05-17,3350.07,3357.74,3377.68,3318.54,7183674,6644103680.0
2011-05-18,3349.61,3377.33,3385.52,3340.51,5562504,5640922624.0
2011-05-19,3382.4,3358.09,3405.74,3355.5,8168221,6375181824.0
2011-05-20,3356.87,3352.51,3365.01,3332.95,6149627,5572265472.0
2011-05-23,3345.82,3217.45,3345.82,3216.37,7162406,6187398144.0
2011-05-24,3198.04,3201.17,3207.34,3139.95,6570463,4967068160.0
2011-05-25,3190.27,3154.74,3210.7,3151.39,5607188,4563876352.0
2011-05-26,3169.81,3115.52,3191.19,3115.17,5310849,4383662592.0
2011-05-27,3116.93,3058.87,3127.03,3050.7,5628901,4543192576.0
2011-05-30,3039.49,3013.8,3062.59,3008.69,3872490,3885100032.0
2011-05-31,3012.7,3065.91,3065.92,2999.78,4742172,3837265664.0
2011-06-01,3062.65,3093.2,3097.27,3053.28,3884548,3616406016.0
2011-06-02,3057.47,3049.75,3071.78,3015.67,4361496,3981130752.0
2011-06-03,3049.25,3105.97,3113.32,3047.0,4262681,4069415168.0
2011-06-07,3102.98,3128.76,3132.65,3095.86,4120684,3551088128.0
2011-06-08,3126.32,3160.55,3160.65,3097.5,7132192,4765488640.0
2011-06-09,3151.96,3101.15,3156.94,3099.2,7454685,5118575104.0
2011-06-10,3081.76,3092.39,3100.35,3048.05,6516222,4510927360.0
2011-06-13,3070.21,3092.6,3098.19,3046.16,5006393,3957876480.0
2011-06-14,3090.68,3149.62,3154.9,3087.1,6558734,5170046976.0
2011-06-15,3135.38,3112.54,3158.79,3111.25,4582846,3880020480.0
2011-06-16,3087.21,3058.52,3097.87,3056.06,4658735,3858331392.0
2011-06-17,3056.54,3020.35,3077.36,3018.16,4571085,3693908992.0
2011-06-20,3011.5,2969.72,3019.83,2962.5,2795801,3357668608.0
2011-06-21,2975.85,3015.78,3015.78,2972.62,4370160,3805983744.0
2011-06-22,3022.55,3012.29,3031.78,2998.23,4009599,3528777728.0
2011-06-23,3003.97,3065.51,3078.83,2980.4,5134336,4754390016.0
2011-06-24,3055.26,3151.35,3169.91,3052.41,8081645,7952790016.0
2011-06-27,3159.68,3187.39,3206.33,3159.68,6778749,7017963008.0
2011-06-28,3191.76,3197.15,3201.74,3173.54,5772538,5308572672.0
2011-06-29,3194.58,3163.9,3210.93,3163.01,5655797,5513419264.0
2011-06-30,3162.06,3218.75,3225.34,3162.06,6642500,6285362176.0
2011-07-01,3228.69,3224.71,3257.28,3219.72,5533763,6228575744.0
2011-07-04,3241.76,3307.95,3307.95,3241.76,8939201,8708782080.0
2011-07-05,3313.53,3302.65,3315.34,3282.58,7468731,7432335360.0
2011-07-06,3301.08,3335.96,3339.88,3280.73,7476497,8321926656.0
2011-07-07,3339.05,3346.26,3392.54,3336.52,8522310,10784667648.0
2011-07-08,3347.5,3343.24,3353.07,3319.67,5643708,6934289408.0
2011-07-11,3338.67,3372.64,3381.98,3324.18,5562613,7138472448.0
2011-07-12,3346.44,3339.52,3367.05,3333.96,7098717,8714364928.0
2011-07-13,3341.42,3412.9,3412.9,3341.3,6538833,9042490368.0
2011-07-14,3419.96,3426.36,3429.85,3391.03,5929548,9025207296.0
2011-07-15,3416.76,3436.63,3442.18,3407.97,6697566,8961541120.0
2011-07-18,3445.58,3445.07,3461.88,3437.37,6849860,8925237248.0
2011-07-19,3424.58,3392.09,3424.58,3383.84,6479417,8323901952.0
2011-07-20,3408.27,3383.23,3419.61,3344.24,4826904,6230014976.0
2011-07-21,3381.11,3330.31,3385.3,3329.54,4652347,6326736896.0
2011-07-22,3342.7,3345.01,3369.33,3336.31,4479422,5910280704.0
2011-07-25,3331.5,3205.19,3331.5,3195.64,6106913,7096920576.0
2011-07-26,3200.77,3241.81,3242.15,3187.46,4957181,4805114368.0
2011-07-27,3229.04,3287.0,3290.64,3214.31,4355573,5215231488.0
2011-07-28,3259.9,3271.97,3275.15,3234.92,4222484,5068882432.0
2011-07-29,3268.99,3237.6,3283.63,3224.83,3550719,4289126144.0
2011-08-01,3233.1,3252.17,3268.41,3224.83,3100083,3928725248.0
2011-08-02,3231.36,3214.37,3231.36,3166.71,4448826,5536124928.0
2011-08-03,3170.71,3205.33,3223.56,3164.03,4815910,5770743296.0
2011-08-04,3211.3,3204.35,3229.39,3190.59,5428334,5391144448.0
2011-08-05,3101.57,3136.45,3159.4,3080.08,6138059,6495094272.0
2011-08-08,3090.88,2976.85,3105.14,2920.16,7288637,7284692480.0
2011-08-09,2880.02,2968.34,2989.61,2834.48,7278538,7019930624.0
2011-08-10,3018.11,3000.29,3045.4,2995.9,6811772,6930572800.0
2011-08-11,2933.04,3027.57,3028.64,2927.82,8348354,8221857280.0
2011-08-12,3057.55,3080.48,3110.48,3057.55,9727008,8188017152.0
2011-08-15,3107.24,3137.76,3137.76,3099.84,13422490,8810780672.0
2011-08-16,3141.02,3107.92,3141.02,3093.48,7502171,6214935040.0
2011-08-17,3095.39,3095.7,3117.06,3082.18,6565054,5321140736.0
2011-08-18,3092.36,3030.94,3095.55,3026.46,6279025,6300288512.0
2011-08-19,2962.83,2998.81,2998.81,2957.34,4760040,4763352576.0
2011-08-22,3002.06,2951.32,3023.75,2940.66,4330994,4639040512.0
2011-08-23,2966.4,3012.76,3012.76,2965.37,4533602,4931613184.0
2011-08-24,3026.93,3026.27,3054.26,3020.8,4942255,5828447744.0
2011-08-25,3031.14,3085.25,3087.89,3012.59,6411072,5795286016.0
2011-08-26,3077.27,3092.74,3099.47,3068.99,4843743,5135084032.0
2011-08-29,3077.75,3082.1,3094.75,3065.09,5930336,5716445184.0
2011-08-30,3102.16,3050.38,3118.9,3049.4,5891956,5619834880.0
2011-08-31,3045.64,3031.48,3059.63,3003.48,4249979,4587885568.0
2011-09-01,3037.59,3017.93,3062.75,3007.07,3583384,3925114624.0
2011-09-02,3012.17,2996.03,3024.28,2973.75,3956929,4387774976.0
2011-09-05,2964.19,2912.34,2964.19,2908.07,3108214,3329025536.0
2011-09-06,2887.72,2879.9,2910.6,2865.59,2936848,3397658880.0
2011-09-07,2895.66,2942.72,2942.94,2890.44,3255540,3612860416.0
2011-09-08,2953.03,2922.6,2962.31,2922.6,3340995,3859371776.0
2011-09-09,2925.87,2902.75,2950.45,2892.97,3001050,3230614528.0
2011-09-13,2863.78,2867.25,2878.0,2833.31,2604286,2753056512.0
2011-09-14,2872.64,2894.81,2895.1,2823.49,3422615,3077536512.0
2011-09-15,2899.7,2900.44,2928.31,2896.08,3640711,3281685504.0
2011-09-16,2912.86,2900.28,2922.0,2896.71,3334384,2848295680.0
2011-09-19,2887.84,2833.88,2887.84,2828.03,3840738,3058424576.0
2011-09-20,2823.28,2846.88,2861.99,2815.66,3192412,2587922944.0
2011-09-21,2847.89,2936.27,2936.88,2834.48,5566506,5208213504.0
2011-09-22,2908.71,2859.72,2935.04,2858.24,4728415,4698030592.0
2011-09-23,2811.8,2853.45,2861.31,2800.56,4103533,4327230464.0
2011-09-26,2841.14,2816.58,2882.69,2806.81,5914166,4224178688.0
2011-09-27,2842.36,2837.97,2857.4,2807.18,4244777,3802561024.0
2011-09-28,2853.57,2792.73,2866.69,2785.05,4053471,4244894720.0
2011-09-29,2780.57,2705.46,2780.57,2702.52,4244360,3819433216.0
2011-09-30,2714.9,2707.42,2723.16,2669.16,3221672,2962456064.0
2011-10-10,2722.92,2693.41,2734.98,2686.51,3083472,2533580800.0
2011-10-11,2759.22,2659.05,2774.76,2627.48,5101017,4854337536.0
2011-10-12,2641.22,2746.38,2749.79,2614.22,6332931,4796045312.0
2011-10-13,2749.3,2796.58,2813.26,2740.39,8155196,5513575936.0
2011-10-14,2785.35,2787.82,2802.34,2755.59,5061237,4124234752.0
2011-10-17,2795.38,2802.17,2826.19,2785.3,4689383,4991454720.0
2011-10-18,2782.76,2723.37,2799.85,2719.42,4868889,5239411712.0
2011-10-19,2730.13,2699.73,2750.74,2692.45,4403356,4782795264.0
2011-10-20,2686.06,2619.34,2686.06,2593.44,4917441,4829611008.0
2011-10-21,2612.44,2551.42,2618.0,2550.6,3450934,3476954368.0
2011-10-24,2557.95,2602.15,2605.75,2502.17,4779596,4243022848.0
2011-10-25,2599.86,2687.82,2692.77,2588.95,7335998,6310354432.0
2011-10-26,2668.79,2725.94,2762.08,2665.87,9713499,8475097600.0
2011-10-27,2724.7,2712.22,2739.61,2699.51,6232195,5552488448.0
2011-10-28,2744.79,2768.23,2771.45,2732.03,7590794,7087449600.0
2011-10-31,2769.31,2791.3,2797.82,2760.98,7024967,7069668352.0
2011-11-01,2763.9,2791.55,2804.08,2756.42,7425925,7380036096.0
2011-11-02,2742.45,2878.92,2878.92,2734.34,10312092,10854866944.0
2011-11-03,2901.49,2897.57,2947.18,2897.57,13783254,14581708800.0
2011-11-04,2915.43,2906.17,2922.8,2881.35,8179363,8579182592.0
2011-11-07,2895.04,2884.24,2923.09,2878.09,6061114,5981072896.0
2011-11-08,2885.83,2841.89,2897.48,2837.93,6782710,5793264128.0
2011-11-09,2849.86,2900.81,2900.81,2813.01,7701745,7054268928.0
